timestamp,dx,dy,dz,droll,dpitch,dyaw
1.720639377043176174e+09,3.070202948959977363e+01,-5.208366264120297906e+00,6.879269510242683738e-01,6.312162926753524250e-03,-5.810687073919407197e-04,5.829245298798294561e-01
1.720639377442819357e+09,3.101668639001849925e+01,-5.414747750913740276e+00,6.947019387910652322e-01,6.603824101525018753e-03,-1.077950733737509381e-03,5.904654249992579151e-01
1.720639377842995405e+09,3.134248341978805996e+01,-5.625428806458447895e+00,6.965590271790137455e-01,6.544563109319874103e-03,-2.865874028493697878e-03,5.991530435171462665e-01
1.720639378242514133e+09,3.166156094654289177e+01,-5.841117198709042668e+00,7.012482366762126107e-01,6.871246613073528700e-03,-9.027331543143057857e-03,6.063013373223367086e-01
1.720639378643052578e+09,3.197338081201503357e+01,-6.058759104075939206e+00,7.055754750783056473e-01,6.659849070284376213e-03,-1.212021113667272054e-02,6.147720362624568002e-01
1.720639379042790890e+09,3.229359210812042136e+01,-6.276325711156566456e+00,7.061106887584160940e-01,5.949305991414617287e-03,-1.693686886380763035e-02,6.230590650771049566e-01
1.720639379443061829e+09,3.262317545949292708e+01,-6.504244356211749789e+00,6.963211916107271415e-01,-5.168205557198001648e-03,-2.960470397674797027e-02,6.315625566681021263e-01
1.720639379842942953e+09,3.290358955489708137e+01,-6.710407081005564933e+00,7.141228578545171235e-01,9.571302189229637450e-03,-2.522086906738718604e-02,6.388550335846335804e-01
1.720639380242652178e+09,3.321864544961150756e+01,-6.951006623431728038e+00,7.069847174917255339e-01,9.121935810055379831e-03,-1.721790064556305566e-02,6.470191658054763595e-01
1.720639380542528152e+09,3.347713612408477246e+01,-7.135165643695025928e+00,6.867583607744145446e-01,7.581830835466859229e-03,-2.958280847400751590e-02,6.590457554492732406e-01
1.720639380942892551e+09,3.377887218673560454e+01,-7.367193337201860537e+00,6.985900396972433146e-01,-3.688891659801212062e-03,-3.378465242683992287e-02,6.637406607451750151e-01
1.720639381242616653e+09,3.402551348002350551e+01,-7.550060070420396841e+00,7.004561271056473082e-01,3.245142828732917157e-04,-2.728531183206794886e-02,6.764078446087192775e-01
1.720639381642569065e+09,3.430279145718120049e+01,-7.775846289602815986e+00,6.976932266709183761e-01,1.332940538135840743e-02,-1.627700587879443717e-02,7.036642379429116634e-01
1.720639382042848349e+09,3.460762215395073582e+01,-8.034564743699403877e+00,7.003654202246335503e-01,9.573334643894499535e-03,-1.472586822987520527e-02,7.268103575684549122e-01
1.720639382442643404e+09,3.487799148932973736e+01,-8.272913420791477179e+00,6.998221866681886283e-01,6.954358979302772449e-03,-1.739931869712196821e-02,7.382033500163439621e-01
1.720639382842314482e+09,3.515846186237394022e+01,-8.531182041174192321e+00,7.057788504855972977e-01,5.081248108586047287e-03,-1.836315834792090484e-02,7.490284992582523227e-01
1.720639383242648840e+09,3.543804817402498486e+01,-8.788969849281906832e+00,7.044069501596824656e-01,5.031045203021632106e-03,-1.610708915860015189e-02,7.594705142028683742e-01
1.720639383642607927e+09,3.571276260305484129e+01,-9.049281495872422809e+00,7.054106627084507641e-01,5.826564944724226154e-03,-1.553777987069482336e-02,7.717784270700057681e-01
1.720639384042532206e+09,3.598969298122510452e+01,-9.320268764224046265e+00,7.069776362528287228e-01,5.634783212793834616e-03,-1.250976077187626601e-02,7.821778807621738716e-01
1.720639384442909956e+09,3.625717939284290026e+01,-9.581181392706257682e+00,7.133454883926775292e-01,9.489143860562329960e-03,-1.014133346152279458e-02,7.924850307138723293e-01
1.720639384942704678e+09,3.658906041861755654e+01,-9.908324944454752981e+00,7.160314133572011075e-01,1.110031674378975271e-02,-8.657956257841492587e-03,8.039314073091511359e-01
1.720639385342494011e+09,3.685239870617056823e+01,-1.018234702799112767e+01,7.217371749260101943e-01,1.053502183658698403e-02,-9.468625052582391177e-03,8.143863104348287862e-01
1.720639385742933989e+09,3.712748543603724727e+01,-1.046929822011663092e+01,7.279393962182931777e-01,8.982303927095208404e-03,-7.751062981858680700e-03,8.305555284632052393e-01
1.720639386142605066e+09,3.738523260923059155e+01,-1.075116558022614122e+01,7.356532216062785512e-01,1.074088259826409472e-02,-8.387935752072861462e-03,8.485988327661043717e-01
1.720639386543046713e+09,3.763580560976539857e+01,-1.102833328205154295e+01,7.409443511807946026e-01,1.046790167967229929e-02,-7.319043682407988527e-03,8.666274305321889360e-01
1.720639386942779303e+09,3.789297186835939613e+01,-1.133080301264279299e+01,7.451819487765901640e-01,8.976825996847946978e-03,-8.177226181047769771e-03,8.890446159236971013e-01
1.720639387343203068e+09,3.813325370824019700e+01,-1.162407358465463503e+01,7.497492383585673270e-01,5.717664463024294159e-03,-1.013842206522985734e-02,9.104742632463610486e-01
1.720639387742664814e+09,3.836365983672133240e+01,-1.193074329357175678e+01,7.515103275279977346e-01,6.070617038889254170e-03,-1.275925250664333710e-02,9.354564573844739162e-01
1.720639388143026590e+09,3.858622648736903216e+01,-1.222902134925874407e+01,7.566903562675511008e-01,1.133139351028169747e-02,-1.559555301173820574e-02,9.606978081299727412e-01
1.720639388542907476e+09,3.880638413039974921e+01,-1.252830978324918654e+01,7.644650475103647036e-01,2.455569307738476523e-02,-6.810192747944476821e-03,9.837391173819712842e-01
1.720639388943328142e+09,3.901143269621218224e+01,-1.284042268128785480e+01,7.711445664560178104e-01,3.412467931782275227e-02,-6.810213324533131996e-03,1.008163750722088858e+00
1.720639389343209982e+09,3.922238908753465836e+01,-1.316505666881286274e+01,7.890471766887149352e-01,3.168412560292993563e-02,-3.965848356277668074e-03,1.032169869158745978e+00
1.720639389742915630e+09,3.940694746125068804e+01,-1.348918753466072218e+01,8.017503495484489262e-01,2.860917605756880741e-02,-6.409256780284477983e-03,1.059969749006774986e+00
1.720639390142360926e+09,3.960078659839549431e+01,-1.381457290773970925e+01,8.166261712929938632e-01,2.556744297179885245e-02,-6.163804691122320989e-03,1.086319554479527882e+00
1.720639390542460442e+09,3.976198992295984169e+01,-1.414834763050496669e+01,8.281081654019313287e-01,2.477782650891783775e-02,-3.787684176920880219e-03,1.112105522419507109e+00
1.720639390942692757e+09,3.993746956430653228e+01,-1.448454902735655914e+01,8.379637095088358079e-01,2.531794928222642557e-02,-2.725001330499576824e-03,1.138861483772758643e+00
1.720639391343064547e+09,4.008968031859937753e+01,-1.483224550418742282e+01,8.487982295181751846e-01,2.218484644914170412e-02,-1.611478586054149176e-03,1.165829402129662906e+00
1.720639391742863417e+09,4.024889565313736739e+01,-1.518542866331061525e+01,8.585145679774368599e-01,1.957177568301139356e-02,-2.761374998011989490e-03,1.196141773129267616e+00
1.720639392142740488e+09,4.038213215940086087e+01,-1.553783305007331528e+01,8.682598518437005808e-01,1.691624855571409458e-02,-3.283173513491721707e-03,1.224121975217642877e+00
1.720639392542744875e+09,4.051020365454590433e+01,-1.589094738801874485e+01,8.746505415045311427e-01,1.478545994744810688e-02,-4.745801836065099977e-03,1.252027418254868962e+00
1.720639392942775011e+09,4.062896453651211459e+01,-1.625239140235578716e+01,8.871452496507762353e-01,1.223082097919363925e-02,-3.619163373208333923e-03,1.281277564225925092e+00
